WORK_NAME,SALAY,COMPANY,COMPANY,POST_URL,ADDRES,jobType,eduLevel,workingExp,detail
C++开发工程师,,方正国际软件（北京）有限公司,方正国际软件（北京）有限公司,https://jobs.zhaopin.com/CC145641624J00235420603.htm,北京-海淀区,"软件/互联网开发/系统集成,软件工程师",本科,1-3年,"职位亮点 节日福利 五险一金 餐补 通讯补助 带薪年假 定期体检 职位描述 任职资格： 1.  具有C/C++语言2年以上的实际开发经验。熟悉windows和Linux系统，有实际开发经验。 2.  熟悉PDF文档格式结构，了解PDF文档中对象、操作符和各种坐标空间等文档元素。从事过PDF文档解析、生成等开发工作者优先。 3.  熟悉XML语言规范，熟悉XML语法和各种XML文档元素。 4.  熟悉字体文件结构，从事过字体文件解析相关工作者优先。 5.  具备扎实的数学基础，熟悉图形图像算法。 6.  具有Android、IOS或国产化操作系统开发经验者优先。 7.  熟悉常用加密、签名算法，有实际开发经验者优先。 8.  对版式文档相关基础技术研发有浓厚兴趣、有良好的学习能力。 职位要求： 1、按照公司产品开发任务和计划，独立完成产品模块的设计、编码和单元测试； 2、根据开发进度和任务分解完成软件程序设计及代码编写等工作； 3、参与项目需求分析, 研究项目技术细节，进行详细设计及其文档等工作； 4、按照公司项目需要安排的其他相关任务 工作地点 北京市海淀区北四环西路52号方正国际大厦 查看地图"
高级JAVA开发,,北京北大软件工程股份有限公司,北京北大软件工程股份有限公司,https://jobs.zhaopin.com/CC000362500J00074584613.htm,北京-海淀区,"软件/互联网开发/系统集成,高级软件工程师",本科,5-10年,"职位亮点 五险一金 交通补助 餐补 通讯补助 带薪年假 定期体检 节日福利 职位描述 岗位描述： 1、根据技术规划对系统进行总体架构设计，并参与核心系统设计和开发、优化、重构； 2、对系统进行持续优化、重构,引入新技术,提升研发效率； 3、参与技术难题攻关,持续提升核心系统能力。 任职要求： 1、计算机相关专业本科以上学历,普通一本以上。3年以上java开发工作经验； 2、有扎实的Java基础,良好的代码编程规范,熟悉JVM原理,熟练使用常见的设计模式； 3、深刻理解面向对象思想,熟悉常用的OOP工具,优秀的代码抽象能力； 4、熟悉数据库技术及数据库优化； 5、熟悉主流开源应用框架，并了解其原理和实现机制； 6、良好的学习能力、团队协作能力和沟通能力,思路清晰、善于思考,工作积极主动。 工作地点 北四环西路67号中关村国际创新大厦11层 查看地图"
bim软件开发工程师,,广州珠江装修工程有限公司北京分公司,广州珠江装修工程有限公司北京分公司,https://jobs.zhaopin.com/CC140436452J00099402609.htm,北京,"软件/互联网开发/系统集成,软件研发工程师",本科,1-3年,职位亮点 餐补 定期体检 节日福利 带薪年假 绩效奖金 五险一金 职位描述 技能要求： Winform C#/.NET 岗位职责： （1）  BIM相关软件的开发及维护。 （2）  与服务器对接，实现BIM模型的数据采集、上传功能。 （3）  BIM族库的上传、下载、权限、分类管理。 （4）  BIM功能增强插件的开发。 任职要求： （1）  本科以上学历，计算机、数学、建筑、结构等相关专业。 （2）  对软件开发有浓厚兴趣，精通C#，数据库等语言。 （3）  有一年以上 Web相关开发经验，有WebGL开发经验优先。 （4）  熟悉Revit二次开发者优先考虑，有BIM或CAD软件开发经验者优先考虑。 （5）  工作踏实认真严谨，逻辑思维能力强。 （6）  有良好的沟通和团队协作能力，具有较强的事业心与责任感。 工作地点 北京市朝阳区北苑路中大嘉美广场2层南侧 查看地图
python量化工程师,,北京百乘传媒技术有限公司,北京百乘传媒技术有限公司,https://jobs.zhaopin.com/CC710715230J00125139914.htm,北京,"软件/互联网开发/系统集成,算法工程师",本科,3-5年,"职位亮点 五险一金 健身俱乐部 每年多次调薪 弹性工作 住房补贴 节日福利 带薪年假 股票期权 职位描述 技能要求： 算法 量化 爬虫 职位职责： 1、负责分布式爬虫的开发； 2、 抓取交易所实时交易数据； 3、对交易所数据的收集，维护，清洗和处理； 4、开发量化自动交易系统，配合策略师在自动化交易系统上实现策略，保证交易策略的高速稳定运行。 任职要求： 1、熟悉 Python 编程语言，熟悉Django Tornado Web框架 、Celery等工具； 2、熟悉 Numpy，DataFrame，Scikit-Learn, MongoDB, MYSQL; 3、对交易框架有一定了解，算法好，对大数据数理统计建模，数据挖掘，机器学习有一定经验和心得; 4、熟悉 Git 代码管理工具, 熟悉 Linux 平台； 5、有自动化交易系统开发经验者优先，有数字货币或衍生品市场交易经验者优先。 工作地点 朝阳区北辰世纪中心B座17层（鸟巢旁边） 查看地图"
Python架构师/高级研发工程师,,虎特信息科技(上海)有限公司北京分公司,虎特信息科技(上海)有限公司北京分公司,https://jobs.zhaopin.com/CC484648737J00115073811.htm,北京,"软件/互联网开发/系统集成,系统架构设计师",本科,5-10年,"职位亮点 绩效奖金 带薪年假 弹性工作 交通补助 七险一金 补充医疗保险 每年多次调薪 公司重点项目 职位描述 职责描述： 开发威胁情报平台以及日志分析平台, 发现潜伏安全威胁。 任职要求： 1. 计算机及相关专业本科以上学历，4年以上工作经验。 2. 本岗位要求精通python，熟练掌握数据分析包括数据解析、规则引擎、统计分析和大数据机器学习以及数据索引。 3. 很强的架构、平台设计和开发能力。 4. 熟练掌握mongodb/hadoop、redis、rabbitMQ、kafka、Linuxshell脚本等。 5. 熟练掌握数据的采集、清洗、聚合、存储、大数据分析和展示。 6. 理解信息安全基本概念、SIEM解决方案的架构和功能、资产的扫描和呈现等是一个加分项。 工作地点 中关村软件园孵化器 查看地图"
高级Python工程师,,北京百乘传媒技术有限公司,北京百乘传媒技术有限公司,https://jobs.zhaopin.com/CC710715230J00071504914.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,3-5年,"职位亮点 五险一金 健身俱乐部 每年多次调薪 弹性工作 住房补贴 节日福利 带薪年假 股票期权 职位描述 职位职责： - 负责分布式爬虫的开发 - 抓取交易所实时交易数据 - 对交易所数据的收集，维护，清洗和处理 - 开发量化自动交易系统，配合策略师在自动化交易系统上实现策略，保证交易策略的高速稳定运行 任职要求： - 熟悉 Python 编程语言，熟悉Django Tornado Web框架 、Celery等工具； - 熟悉 Numpy，DataFrame，Scikit-Learn, MongoDB, MYSQL; - 对交易框架有一定了解，算法好，对大数据数理统计建模，数据挖掘，机器学习有一定经验和心得; - 熟悉 Git 代码管理工具, 熟悉 Linux 平台； - 具有良好的沟通能力，和良好的团队合作精神; - 有自动化交易系统开发经验者优先，有数字货币或衍生品市场交易经验者优先; 工作地点 朝阳区北辰世纪中心B座17层（鸟巢旁边） 查看地图"
python开发工程师,,北京神州飞腾信息科技有限公司,北京神州飞腾信息科技有限公司,https://jobs.zhaopin.com/CC636483920J00126022112.htm,北京-大兴区,"软件/互联网开发/系统集成,软件工程师",本科,3-5年,职位亮点 五险一金 周末双休 加班补助 节日福利 公司重点项目 带薪年假 年底双薪 试用期全额 职位描述 任职要求 1、 熟练使用下面技术中的一种或几种： a) 熟练使用MongoDB/PostgreSQL数据库； b) 熟练使用一种Python下的REST或gRPC开发框架； c) 熟练使用Kafka； 2、 熟练使用Linux操作系统； 3、 熟悉分布式系统设计，有高并发开发经验； 4、 对云计算和大数据等技术有强烈的探索心与兴趣； 5、 良好的团队沟通与协作能力； 岗位职责 1、 ETL批处理作业的编写优化； 2、 高性能REST API的设计和开发； 基于Kafka的数据采集、清洗等流处理作业的编写； 工作地点 中航技广场 查看地图
python工程师,,北京安码科技有限公司,北京安码科技有限公司,https://jobs.zhaopin.com/CC147350823J00119286014.htm,北京,"软件/互联网开发/系统集成,高级软件工程师",本科,3-5年,职位亮点 周末双休 五险一金 绩效奖金 带薪年假 定期体检 员工旅游 节日福利 年底双薪 职位描述 岗位职责：1、参与公司安全相关新技术和新产品的研发，负责开发Python系统相关核心代码。 任职要求：1、扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识，2年以上工作经验。2、精通Python语言；3、精通常见的Python Web框架，包括但不限于Django、Flask Tornado，读过源码，有框架优化经验；4、熟悉面向对象的软件设计及设计模式；5、熟悉Git工作流，可以和团队协同工作 熟悉Linux下开发、熟练使用常用Linux命令。 加分项：1.有自动化运维和监控开发经验；2.具备安全产品开发经验。 工作地点 北京市海淀区西直门北大街32号枫蓝国际A座612室 查看地图
Python（AI）开发实习生,,北京百知教育科技有限公司,北京百知教育科技有限公司,https://jobs.zhaopin.com/CC689935929J00125186012.htm,北京,"软件/互联网开发/系统集成,软件工程师",大专,不限,"职位亮点 14薪 住房补贴 每年多次调薪 周末双休 五险一金 年底双薪 包住 房补 职位描述 人工智已经走进我们的生活，来得有些突然，以至于目前国内大学还没有开设人工智能专业，一名入门级的AI工程师月薪轻松就可以拿到15K，中、高级工程师，企业更是给出30万到150万的年薪；Python非常适合AI开发，它更接近自然语言，编程简单, 速度超快，它能够把各种模块很轻松地联结在一起,开发人员不必重复造轮子，像搭积木一样就可以完成绝大部分工作，非常适合初学编程者。　　　 未来将是人工智能的天下，越来越多的工作都将被人工智能替代！如果你够睿智，就算是壮士断腕，也要毅然决然地走进“人工智能”，四年后，当第一期AI大学生进入这一领域时，你已经年薪百万了。 人工智能时代刚刚拉开帷幕，现在加入，你就是下一个技术时代的王者！ 【任职资格】： 1、计算机相关专业、专科及以上学历； 2、坚实的计算机基础，对人工智能（机器学习和深度学习）有充分的好奇心和探索欲 3、有一定的英文文档阅读能力，熟悉C语言、Java、.Net、PHP或 Python 编程，任意一门语言者优先； 4、勇于面对挑战，乐于思考和学习，有独立解决问题的能力； 【薪金福利】： 1：富有竞争力的薪酬水平和其他福利津贴 2：首月入职12K起，健全的五险一金 3：给予完善的绩效考核，年终奖金及定期调薪 4：完善的培养体系和晋升机制 5：带薪休假（年假，婚假，丧假，病假，培训假等） 【温馨提示】：每日简历投递量较大，欢迎主动与电话（微信）18911158356预约！ 北京中关村软件园欢迎您！ 工作地点 北京中关村软件园 查看地图"
python（数据分析）,,启迪之星(北京)科技企业孵化器有限公司,启迪之星(北京)科技企业孵化器有限公司,https://jobs.zhaopin.com/331332682250280.htm,北京,"软件/互联网开发/系统集成,数据库开发工程师",大专,1-3年,职位亮点 五险一金 绩效奖金 加班补助 带薪年假 定期体检 员工旅游 职位描述 岗位职责： 1.负责后台数据分析； 2.负责服务端相关组件研发； 任职要求： 1.扎实的计算机基础，熟悉常用数据结构、算法； 2.精通Python/R语言，熟练使用Linux系统及基本环境搭建； 3.熟悉spark/hadoop等技术； 4.熟悉Mysql数据库，具有一定的优化经验； 5.熟悉Redis，有缓存、队列处理经验者优先； 6.熟悉ArcGis等Gis软件技术者优先； 7.1年以上工作经验。 工作地点 北京市海淀区清华园内清华大学学研综合楼B座二层206室
